ticker,exchange,side,quantity,account,orderType,limit,broker,strategy
BR,US,B,13,21386427-3,MKT,,BMTB,SOR
HLI,US,B,6,21386427-3,MKT,,BMTB,SOR
EPAM,US,BS,7,21386427-4,MKT,,BMTB,SOR
EPAM,US,B,6,21386427-3,MKT,,BMTB,SOR
THO,US,B,22,21386427-3,MKT,,BMTB,SOR
APH,US,BS,31,21386427-4,MKT,,BMTB,SOR
APH,US,B,29,21386427-3,MKT,,BMTB,SOR
RDN,US,BS,35,21386427-4,MKT,,BMTB,SOR
RDN,US,B,35,21386427-3,MKT,,BMTB,SOR
PLD,US,BS,38,21386427-4,MKT,,BMTB,SOR
PLD,US,B,34,21386427-3,MKT,,BMTB,SOR
FSP,US,B,7,21386427-3,MKT,,BMTB,SOR
SLAB,US,BS,8,21386427-4,MKT,,BMTB,SOR
SLAB,US,B,8,21386427-3,MKT,,BMTB,SOR
UMBF,US,BS,4,21386427-4,MKT,,BMTB,SOR
UMBF,US,B,4,21386427-3,MKT,,BMTB,SOR
BAH,US,BS,32,21386427-4,MKT,,BMTB,SOR
BAH,US,B,30,21386427-3,MKT,,BMTB,SOR
DRE,US,BS,54,21386427-4,MKT,,BMTB,SOR
DRE,US,B,55,21386427-3,MKT,,BMTB,SOR
WWD,US,B,5,21386427-3,MKT,,BMTB,SOR
HASI,US,BS,6,21386427-4,MKT,,BMTB,SOR
HASI,US,B,6,21386427-3,MKT,,BMTB,SOR
TXN,US,BS,25,21386427-4,MKT,,BMTB,SOR
TXN,US,B,23,21386427-3,MKT,,BMTB,SOR
ETM,US,BS,32,21386427-4,MKT,,BMTB,SOR
ETM,US,B,31,21386427-3,MKT,,BMTB,SOR
ABR,US,BS,35,21386427-4,MKT,,BMTB,SOR
ABR,US,B,34,21386427-3,MKT,,BMTB,SOR
BDX,US,BS,12,21386427-4,MKT,,BMTB,SOR
BDX,US,B,11,21386427-3,MKT,,BMTB,SOR
WHR,US,BS,19,21386427-4,MKT,,BMTB,SOR
WHR,US,B,18,21386427-3,MKT,,BMTB,SOR
HPP,US,BS,18,21386427-4,MKT,,BMTB,SOR
HPP,US,B,17,21386427-3,MKT,,BMTB,SOR
KBR,US,BS,24,21386427-4,MKT,,BMTB,SOR
KBR,US,B,24,21386427-3,MKT,,BMTB,SOR
TDY,US,BS,4,21386427-4,MKT,,BMTB,SOR
TDY,US,B,4,21386427-3,MKT,,BMTB,SOR
ARW,US,B,12,21386427-3,MKT,,BMTB,SOR
ARNC,US,BS,90,21386427-4,MKT,,BMTB,SOR
ARNC,US,B,88,21386427-3,MKT,,BMTB,SOR
PFPT,US,BS,18,21386427-4,MKT,,BMTB,SOR
PFPT,US,B,17,21386427-3,MKT,,BMTB,SOR
CLGX,US,B,9,21386427-3,MKT,,BMTB,SOR
GPK,US,BS,82,21386427-4,MKT,,BMTB,SOR
GPK,US,B,84,21386427-3,MKT,,BMTB,SOR
MRCY,US,BS,8,21386427-4,MKT,,BMTB,SOR
MRCY,US,B,8,21386427-3,MKT,,BMTB,SOR
BAX,US,B,34,21386427-3,MKT,,BMTB,SOR
INVH,US,BS,22,21386427-4,MKT,,BMTB,SOR
INVH,US,B,101,21386427-3,MKT,,BMTB,SOR
CINF,US,B,13,21386427-3,MKT,,BMTB,SOR
HHC,US,B,3,21386427-3,MKT,,BMTB,SOR
ARMK,US,B,25,21386427-3,MKT,,BMTB,SOR
PB,US,B,8,21386427-3,MKT,,BMTB,SOR
HGV,US,B,20,21386427-3,MKT,,BMTB,SOR
CAR,US,B,20,21386427-3,MKT,,BMTB,SOR
AFG,US,B,6,21386427-3,MKT,,BMTB,SOR
MLR,US,B,2,21386427-3,MKT,,BMTB,SOR
STMP,US,BS,13,21386427-4,MKT,,BMTB,SOR
STMP,US,B,12,21386427-3,MKT,,BMTB,SOR
SASR,US,BS,4,21386427-4,MKT,,BMTB,SOR
SASR,US,B,3,21386427-3,MKT,,BMTB,SOR
NAVI,US,B,30,21386427-3,MKT,,BMTB,SOR
FLIR,US,BS,20,21386427-4,MKT,,BMTB,SOR
FLIR,US,B,19,21386427-3,MKT,,BMTB,SOR
HAS,US,BS,21,21386427-4,MKT,,BMTB,SOR
HAS,US,B,20,21386427-3,MKT,,BMTB,SOR
PAYX,US,BS,40,21386427-4,MKT,,BMTB,SOR
PAYX,US,B,36,21386427-3,MKT,,BMTB,SOR
DHR,US,BS,22,21386427-4,MKT,,BMTB,SOR
DHR,US,B,20,21386427-3,MKT,,BMTB,SOR
EVC,US,BS,7,21386427-4,MKT,,BMTB,SOR
EVC,US,B,6,21386427-3,MKT,,BMTB,SOR
HURN,US,BS,2,21386427-4,MKT,,BMTB,SOR
HURN,US,B,2,21386427-3,MKT,,BMTB,SOR
OPB,US,BS,1,21386427-4,MKT,,BMTB,SOR
OPB,US,B,1,21386427-3,MKT,,BMTB,SOR
VLY,US,B,62,21386427-3,MKT,,BMTB,SOR
DGX,US,B,21,21386427-3,MKT,,BMTB,SOR
PG,US,BS,26,21386427-4,MKT,,BMTB,SOR
PG,US,B,24,21386427-3,MKT,,BMTB,SOR
BXMT,US,BS,25,21386427-4,MKT,,BMTB,SOR
BXMT,US,B,24,21386427-3,MKT,,BMTB,SOR
FRC,US,B,24,21386427-3,MKT,,BMTB,SOR
EQR,US,BS,38,21386427-4,MKT,,BMTB,SOR
EQR,US,B,34,21386427-3,MKT,,BMTB,SOR
CRAI,US,BS,1,21386427-4,MKT,,BMTB,SOR
CRAI,US,B,1,21386427-3,MKT,,BMTB,SOR
JEC,US,BS,21,21386427-4,MKT,,BMTB,SOR
JEC,US,B,20,21386427-3,MKT,,BMTB,SOR
CIT,US,B,8,21386427-3,MKT,,BMTB,SOR
GVA,US,BS,17,21386427-4,MKT,,BMTB,SOR
GVA,US,B,17,21386427-3,MKT,,BMTB,SOR
CMI,US,BS,20,21386427-4,MKT,,BMTB,SOR
CMI,US,B,18,21386427-3,MKT,,BMTB,SOR
ICE,US,BS,35,21386427-4,MKT,,BMTB,SOR
ICE,US,B,31,21386427-3,MKT,,BMTB,SOR
CME,US,BS,15,21386427-4,MKT,,BMTB,SOR
CME,US,B,13,21386427-3,MKT,,BMTB,SOR
CAC,US,BS,1,21386427-4,MKT,,BMTB,SOR
CAC,US,B,1,21386427-3,MKT,,BMTB,SOR
UIS,US,BS,23,21386427-4,MKT,,BMTB,SOR
UIS,US,B,22,21386427-3,MKT,,BMTB,SOR
TRU,US,BS,17,21386427-4,MKT,,BMTB,SOR
TRU,US,B,17,21386427-3,MKT,,BMTB,SOR
IRM,US,B,86,21386427-3,MKT,,BMTB,SOR
PJC,US,BS,1,21386427-4,MKT,,BMTB,SOR
PJC,US,B,1,21386427-3,MKT,,BMTB,SOR
VSAT,US,BS,6,21386427-4,MKT,,BMTB,SOR
VSAT,US,B,6,21386427-3,MKT,,BMTB,SOR
BRO,US,BS,23,21386427-4,MKT,,BMTB,SOR
BRO,US,B,23,21386427-3,MKT,,BMTB,SOR
DGICA,US,B,1,21386427-3,MKT,,BMTB,SOR
GLW,US,BS,118,21386427-4,MKT,,BMTB,SOR
GLW,US,B,106,21386427-3,MKT,,BMTB,SOR
CGNX,US,B,18,21386427-3,MKT,,BMTB,SOR
CRI,US,B,13,21386427-3,MKT,,BMTB,SOR
AFL,US,BS,62,21386427-4,MKT,,BMTB,SOR
AFL,US,B,57,21386427-3,MKT,,BMTB,SOR
FISI,US,BS,1,21386427-4,MKT,,BMTB,SOR
FISI,US,B,1,21386427-3,MKT,,BMTB,SOR
BEAT,US,BS,7,21386427-4,MKT,,BMTB,SOR
BEAT,US,B,7,21386427-3,MKT,,BMTB,SOR
ITRI,US,BS,9,21386427-4,MKT,,BMTB,SOR
ITRI,US,B,9,21386427-3,MKT,,BMTB,SOR
WELL,US,BS,36,21386427-4,MKT,,BMTB,SOR
WELL,US,B,33,21386427-3,MKT,,BMTB,SOR
KO,US,BS,11,21386427-4,MKT,,BMTB,SOR
KO,US,B,54,21386427-3,MKT,,BMTB,SOR
GATX,US,BS,6,21386427-4,MKT,,BMTB,SOR
GATX,US,B,5,21386427-3,MKT,,BMTB,SOR
RHI,US,BS,14,21386427-4,MKT,,BMTB,SOR
RHI,US,B,14,21386427-3,MKT,,BMTB,SOR
WPC,US,BS,7,21386427-4,MKT,,BMTB,SOR
WPC,US,B,15,21386427-3,MKT,,BMTB,SOR
SYK,US,BS,15,21386427-4,MKT,,BMTB,SOR
SYK,US,B,13,21386427-3,MKT,,BMTB,SOR
AVT,US,BS,13,21386427-4,MKT,,BMTB,SOR
AVT,US,B,13,21386427-3,MKT,,BMTB,SOR
FII,US,B,15,21386427-3,MKT,,BMTB,SOR
SCHL,US,BS,10,21386427-4,MKT,,BMTB,SOR
SCHL,US,B,9,21386427-3,MKT,,BMTB,SOR
QLYS,US,BS,10,21386427-4,MKT,,BMTB,SOR
QLYS,US,B,9,21386427-3,MKT,,BMTB,SOR
CERN,US,BS,43,21386427-4,MKT,,BMTB,SOR
CERN,US,B,42,21386427-3,MKT,,BMTB,SOR
ABBV,US,B,40,21386427-3,MKT,,BMTB,SOR
VST,US,BS,65,21386427-4,MKT,,BMTB,SOR
VST,US,B,65,21386427-3,MKT,,BMTB,SOR
YELP,US,BS,42,21386427-4,MKT,,BMTB,SOR
YELP,US,B,40,21386427-3,MKT,,BMTB,SOR
CLAR,US,B,2,21386427-3,MKT,,BMTB,SOR
CCMP,US,BS,6,21386427-4,MKT,,BMTB,SOR
CCMP,US,B,6,21386427-3,MKT,,BMTB,SOR
SHW,US,BS,6,21386427-4,MKT,,BMTB,SOR
SHW,US,B,5,21386427-3,MKT,,BMTB,SOR
FNB,US,B,51,21386427-3,MKT,,BMTB,SOR
NMIH,US,B,10,21386427-3,MKT,,BMTB,SOR
ABT,US,BS,39,21386427-4,MKT,,BMTB,SOR
ABT,US,B,35,21386427-3,MKT,,BMTB,SOR
SON,US,B,1,21386427-3,MKT,,BMTB,SOR
KBH,US,SS,2,21386427-4,MKT,,BMTB,SOR
PYPL,US,B,4,21386427-3,MKT,,BMTB,SOR
AVGO,US,B,2,21386427-3,MKT,,BMTB,SOR
FMBI,US,SS,15,21386427-4,MKT,,BMTB,SOR
IVZ,US,B,3,21386427-3,MKT,,BMTB,SOR
MSCI,US,B,1,21386427-3,MKT,,BMTB,SOR
XYL,US,SS,18,21386427-4,MKT,,BMTB,SOR
SWK,US,B,2,21386427-3,MKT,,BMTB,SOR
SKY,US,SS,10,21386427-4,MKT,,BMTB,SOR
CSX,US,SS,43,21386427-4,MKT,,BMTB,SOR
ZNGA,US,B,48,21386427-3,MKT,,BMTB,SOR
AEGN,US,SS,2,21386427-4,MKT,,BMTB,SOR
ALL,US,B,3,21386427-3,MKT,,BMTB,SOR
KEYS,US,B,3,21386427-3,MKT,,BMTB,SOR
GT,US,SS,98,21386427-4,MKT,,BMTB,SOR
CBRE,US,B,1,21386427-3,MKT,,BMTB,SOR
KNX,US,B,3,21386427-3,MKT,,BMTB,SOR
SPGI,US,B,2,21386427-3,MKT,,BMTB,SOR
PEP,US,B,2,21386427-3,MKT,,BMTB,SOR
CTAS,US,SS,9,21386427-4,MKT,,BMTB,SOR
KNSL,US,SS,4,21386427-4,MKT,,BMTB,SOR
INTU,US,SS,11,21386427-4,MKT,,BMTB,SOR
BLK,US,B,1,21386427-3,MKT,,BMTB,SOR
EXC,US,B,6,21386427-3,MKT,,BMTB,SOR
MLM,US,SS,11,21386427-4,MKT,,BMTB,SOR
AXE,US,B,1,21386427-3,MKT,,BMTB,SOR
WDC,US,B,6,21386427-3,MKT,,BMTB,SOR
SAIC,US,B,1,21386427-3,MKT,,BMTB,SOR
HMSY,US,SS,14,21386427-4,MKT,,BMTB,SOR
MBWM,US,SS,4,21386427-4,MKT,,BMTB,SOR
MRK,US,B,4,21386427-3,MKT,,BMTB,SOR
MINI,US,SS,7,21386427-4,MKT,,BMTB,SOR
KMB,US,SS,17,21386427-4,MKT,,BMTB,SOR
CBOE,US,B,1,21386427-3,MKT,,BMTB,SOR
IRBT,US,B,1,21386427-3,MKT,,BMTB,SOR
ARI,US,B,1,21386427-3,MKT,,BMTB,SOR
FISV,US,B,3,21386427-3,MKT,,BMTB,SOR
HUN,US,B,2,21386427-3,MKT,,BMTB,SOR
BBT,US,SS,56,21386427-4,MKT,,BMTB,SOR
FOSL,US,SS,51,21386427-4,MKT,,BMTB,SOR
CRM,US,B,2,21386427-3,MKT,,BMTB,SOR
ZEN,US,B,5,21386427-3,MKT,,BMTB,SOR
RMBS,US,B,1,21386427-3,MKT,,BMTB,SOR
INTC,US,B,7,21386427-3,MKT,,BMTB,SOR
FEYE,US,B,3,21386427-3,MKT,,BMTB,SOR
BAC,US,B,10,21386427-3,MKT,,BMTB,SOR
HSC,US,B,1,21386427-3,MKT,,BMTB,SOR
BK,US,B,6,21386427-3,MKT,,BMTB,SOR
JBL,US,SS,42,21386427-4,MKT,,BMTB,SOR
WSBC,US,SS,5,21386427-4,MKT,,BMTB,SOR
MDCO,US,B,6,21386427-3,MKT,,BMTB,SOR
TTD,US,B,2,21386427-3,MKT,,BMTB,SOR
NVDA,US,B,2,21386427-3,MKT,,BMTB,SOR
SNX,US,SS,15,21386427-4,MKT,,BMTB,SOR
TOL,US,SS,43,21386427-4,MKT,,BMTB,SOR
AMTD,US,B,1,21386427-3,MKT,,BMTB,SOR
BMY,US,B,6,21386427-3,MKT,,BMTB,SOR
ALLY,US,SS,83,21386427-4,MKT,,BMTB,SOR
ED,US,SS,25,21386427-4,MKT,,BMTB,SOR
SYF,US,B,9,21386427-3,MKT,,BMTB,SOR
XLNX,US,B,4,21386427-3,MKT,,BMTB,SOR
MA,US,B,2,21386427-3,MKT,,BMTB,SOR
TAP,US,SS,31,21386427-4,MKT,,BMTB,SOR
QCOM,US,B,5,21386427-3,MKT,,BMTB,SOR
FTNT,US,SS,37,21386427-4,MKT,,BMTB,SOR
PSTG,US,B,3,21386427-3,MKT,,BMTB,SOR
GBX,US,SS,13,21386427-4,MKT,,BMTB,SOR
CAG,US,SS,99,21386427-4,MKT,,BMTB,SOR
KEY,US,B,17,21386427-3,MKT,,BMTB,SOR
LORL,US,SS,1,21386427-4,MKT,,BMTB,SOR
AXP,US,B,2,21386427-3,MKT,,BMTB,SOR
CMG,US,B,1,21386427-3,MKT,,BMTB,SOR
EXEL,US,SS,62,21386427-4,MKT,,BMTB,SOR
TMUS,US,B,4,21386427-3,MKT,,BMTB,SOR
ECL,US,SS,15,21386427-4,MKT,,BMTB,SOR
NRG,US,B,2,21386427-3,MKT,,BMTB,SOR
EXPE,US,B,2,21386427-3,MKT,,BMTB,SOR
AZO,US,B,1,21386427-3,MKT,,BMTB,SOR
SLM,US,B,2,21386427-3,MKT,,BMTB,SOR
NCR,US,B,1,21386427-3,MKT,,BMTB,SOR
WDAY,US,B,2,21386427-3,MKT,,BMTB,SOR
LDOS,US,B,1,21386427-3,MKT,,BMTB,SOR
V,US,B,1,21386427-3,MKT,,BMTB,SOR
IBM,US,B,2,21386427-3,MKT,,BMTB,SOR
MCD,US,B,2,21386427-3,MKT,,BMTB,SOR
AWR,US,B,1,21386427-3,MKT,,BMTB,SOR
NI,US,B,1,21386427-3,MKT,,BMTB,SOR
BSX,US,B,7,21386427-3,MKT,,BMTB,SOR
NOV,US,B,14,21386427-3,MKT,,BMTB,SOR
EXPI,US,SS,3,21386427-4,MKT,,BMTB,SOR
LAZ,US,SS,1,21386427-4,MKT,,BMTB,SOR
CWT,US,SS,5,21386427-4,MKT,,BMTB,SOR
SBUX,US,B,3,21386427-3,MKT,,BMTB,SOR
XRAY,US,SS,32,21386427-4,MKT,,BMTB,SOR
HUBS,US,B,2,21386427-3,MKT,,BMTB,SOR
SYNA,US,SS,17,21386427-4,MKT,,BMTB,SOR
CHRW,US,B,1,21386427-3,MKT,,BMTB,SOR
SNAP,US,B,19,21386427-3,MKT,,BMTB,SOR
FE,US,SS,61,21386427-4,MKT,,BMTB,SOR
ZAGG,US,SS,22,21386427-4,MKT,,BMTB,SOR
WMT,US,B,2,21386427-3,MKT,,BMTB,SOR
HRL,US,SS,44,21386427-4,MKT,,BMTB,SOR
HD,US,B,1,21386427-3,MKT,,BMTB,SOR
KFY,US,SS,18,21386427-4,MKT,,BMTB,SOR
PZZA,US,SS,53,21386427-4,MKT,,BMTB,SOR
TWLO,US,B,4,21386427-3,MKT,,BMTB,SOR
